지역,매장명,현황,주소,매장서비스,전화번호
경남 창원시 마산합포구,마산저도점,영업중,경상남도 창원시 마산합포구 구산면 해양관광로 1872-50 2~3층,테라스/주차,055-243-1052
충북 옥천군,충북옥천점,영업중,충청북도 옥천군 옥천읍 송신길 172 /서대리 13-1,주차,043-731-5560
경기 화성시,화성조암점,영업중,"경기도 화성시 우정읍 쌍봉로 76 1층, 103호",테라스/주차,031-358-3567
경기 안성시,(상)안성맞춤휴게소점,영업중,경기도 안성시 서운면 평택제천고속도로 41 (안성맞춤휴게소평택방향) .,주차,031-673-3822
서울 종로구,청계천점,영업중,"서울특별시 종로구  청계천로 81 1,2,3,4층",,02-735-5462
인천 연수구,인천대입구역점,영업중,"인천광역시 연수구 인천타워대로132번길 34 (송도동) 104호,105호",주차,032-833-2808
경기 남양주시,남양주진접점,영업중,"경기도 남양주시 진접읍 해밀예당1로 8-12, 가동 1~2층 /연평리 110-1",테라스/주차,031-523-3237
서울 강남구,청담삼성로점,영업중,서울특별시 강남구 삼성로119길 8 (강남대청담카이로스빌딩) 1층,,02-541-7755
경기 김포시,김포운양점,영업중,경기도 김포시 김포한강11로255번길 15 (김포한강이랜드타운힐스) .,주차,031-986-2260
울산 남구,울산교보문고점,영업중,울산광역시 남구 화합로 185 업스퀘어 B1 교보문고내,주차,052-990-5550
세종 세종시,세종가람DT점,영업중,세종특별자치시 금송로 589 (가람동) .,주차,044-865-8882
대구 동구,대구봉무공원점,영업중,대구광역시 동구 단산길 4 (봉무동) 1~2층,주차,053-984-3001
충북 청주시 서원구,청주산남DT점,영업중,"충청북도 청주시 서원구 1순환로 892,1,2층(산남동)",DT 매장/주차,043-287-5731
경북 성주군,성주성밖숲점,영업중,경상북도 성주군 성주읍 성밖숲길 7 .,주차,054-933-2222
강원 속초시,속초영랑해변DI점,영업중,강원도 속초시 영랑해안길 205 (영랑동 148-172) 할리스,테라스/주차,033-637-0164
울산 남구,울산달동DT점,영업중,울산광역시 남구 번영로 82 (달동 1297-1) 할리스,DT 매장/테라스/주차,052-275-3022
인천 서구,인천당하점,영업중,"인천광역시 서구 서곶로 788 (홀리랜드,1층) /당하동 1098-5",주차,032-561-1578
서울 관악구,신림역점,영업중,서울특별시 관악구 신림로 313 (신림동) 2-3층,흡연시설,02-877-5596
인천 서구,서해구청점,영업중,"인천광역시 서구 서곶로301번길 7-1 (세광빌딩) /심곡동 247-1,1층",주차,032-569-1235
부산 수영구,부산광안리점,영업중,"부산광역시 수영구 광안해변로 175 (광안동 200-6, 광안에이파크오션) 1~2층",주차,051-757-9433
서울 동작구,대방역점,영업중,"서울특별시 동작구 알마타길 6 (대방동, 파밀리에 하늘마루) 101호, 102호 .",테라스/주차,02-825-6369
경기 남양주시,다산진건점,영업중,경기도 남양주시 다산중앙로20번길 10-44 1층  .,주차,070-7808-1221
서울 강남구,강남대로논현점,영업중,"서울특별시 강남구 강남대로 520 (논현동 164번지, 영동빌딩) .",,02-6012-2372
대전 유성구,대전호텔ICC점,영업중,대전광역시 유성구 엑스포로123번길 55 (도룡동) 1층,주차,042-866-5104
서울 마포구,홍대거리점,영업중,"서울특별시 마포구 어울마당로 76-1, 2~4층 (서교동 364-19) 할리스",테라스,02-323-3795
부산 해운대구,부산센텀시티점,영업중,"부산광역시 해운대구 센텀2로 24 (우동, 센텀다이아몬드) 1층, 102호",,051-755-9100
경남 창원시 성산구,창원귀산점,영업중,경상남도 창원시 성산구 삼귀로 189 귀곡동 723-21,테라스/주차,055-266-1353
경기 의정부시,의정부로데오점,영업중,경기도 의정부시 행복로 28 (의정부동) 지상 1층~ 4층,흡연시설,031-823-0201
강원 속초시,속초엑스포점,영업중,강원도 속초시 청초호반로 75 (조양동) 1~3층,테라스/주차,033-638-2123
경기 안산시 단원구,안산중앙역점,영업중,"경기도 안산시 단원구 광덕4로 234 (천혜로데오프라자) 107,108호",테라스/주차,031-484-2002
경기 오산시,오산시청점,영업중,"경기도 오산시 성호대로 124 (신협빌딩) 101,102호",흡연시설,031-378-8778
충북 청주시 흥덕구,청주NC백화점CGV점,영업중,"충북 청주시 흥덕구 2순환로 1233 (청주NC백화점, 8층) .",주차,070-4153-5598
서울 구로구,구로거리공원점,영업중,"서울특별시 구로구 구로중앙로28길 52,1~2층 /구로동 109-1",주차,02-838-7008
강원 양양군,낙산해수욕장점,영업중,강원도 양양군 강현면 해맞이길 18 .,주차,033-673-0053
경기 안산시 상록구,안산한대앞점,영업중,"경기도 안산시 상록구 중보로 31 (이동, 썬프라자) .",테라스/흡연시설/주차,031-419-2131
경기 양주시,양주삼숭DI점,영업중,"경기도 양주시 부흥로 2239 1,2층 삼숭동 477-1",주차,031-848-5375
서울 서초구,교대역점,영업중,서울특별시 서초구 반포대로30길 81 (웅진타워) 1층 .,주차,02-521-8944
경기 파주시,파주운정역점,영업중,경기도 파주시 경의로1240번길 37-1  101~3호 201~2호,주차,031-957-6200
대전 동구,가오CGV점,영업중,대전광역시 동구 은어송로 72 4층(패션아일랜드) .,주차,042-273-7400
충남 당진시,당진시청점,영업중,충청남도 당진시 시청2로 49-25 로고스타워 1~2층,흡연시설/주차,070-8808-1040
전북 익산시,익산영등점,영업중,전라북도 익산시 고봉로32길 46-1 1~2층,,063-918-2211
경기 수원시 권선구,수원SKV1모터스점,영업중,"경기도 수원시 권선구 평동로79번길 45, 1층 135호 .",주차,031-293-8810
서울 구로구,구로디지털단지역점,영업중,서울특별시 구로구 디지털로32나길 38 (서림빌딩) 1층,테라스/주차,02-851-3365
서울 마포구,공덕경의선숲길점,영업중,"서울특별시 마포구 백범로28길 22, 일양빌딩 신관 1층 (염리동 164-1)",주차,02-701-3967
경북 칠곡군,칠곡왜관점,영업중,경상북도 칠곡군 석적읍 석적로 178-3 1~2층,테라스,054-977-8255
서울 마포구,홍대역2번출구점,영업중,서울특별시 마포구 동교로 200 1~3층 동교동 158-26,24시간/주차,02-332-8079
경기 화성시,화성능동DT점,영업중,"경기 화성시 동탄지성로 215 1,2층 전체호(병점동)",DT 매장/주차,031-221-7286
경남 밀양시,밀양킹콩점,영업중,"경상남도 밀양시 삼문강변로 272 (삼문동) 2,3층",테라스/주차,055-351-0056
서울 강남구,코엑스점,영업중,"서울특별시 강남구 영동대로 513, 코엑스 지하 1층  C113호 (삼성동 159)  할리스",테라스/주차,02-6002-3100
경기 고양시 덕양구,화정역점,영업중,경기도 고양시 덕양구 화신로272번길 67  장군빌딩 2층,주차,070-7514-8707
전북 군산시,군산새만금산단점,영업중,전라북도 군산시 새만금북로 424 1층 104호,주차,063-468-4100
경기 남양주시,다산한강점,영업중,경기도 남양주시 다산지금로 163번길 9-12 1층,주차,031-592-3118
경기 고양시 덕양구,덕양구청점,영업중,경기도 고양시 덕양구 화중로104번길 8 (장원프라자) 1층 102호,테라스/주차,070-4647-0030
충남 서천군,(하)서천휴게소점,영업중,충청남도 서천군 비인면 서해안고속도로 169 .,주차,041-952-5757
서울 서대문구,서대문농협생명빌딩점,영업중,"서울시 서대문구 통일로 87  미근동 257, NH농협생명빌딩 동관 1층",주차,02-364-7787
충북 청주시 청원구,(하)오창휴게소점,영업중,충청북도 청주시 청원구 오창읍 중부고속도로 21 (오창휴게소통영기점) .,주차,043-217-1477
충북 청주시 흥덕구,(하)옥산휴게소점,영업중,충청북도 청주시 흥덕구 옥산면 경부고속도로 309 (부산방향) .,주차,043-260-1053
경기 김포시,김포지식산업센터점,영업중,"경기도 김포시 태장로 795번길 145, 아셈호텔 1층 (장기동 2011-2)",주차,070-4953-9475
경기 군포시,군포IT밸리점,영업중,경기도 군포시 고산로148번길 17 1층,주차,031-8086-8211
전남 광양시,광양중동점,영업중,전라남도 광양시 공영로 92-1 .,주차,061-795-6600
대구 달서구,대구이월드점,영업중,대구광역시 달서구 두류공원로 200 (두류동) .,주차,053-620-0001
전북 전주시 덕진구,전주아중점,영업중,"전라북도 전주시 덕진구 아중로 193 1,2층",주차,063-246-2203
충북 청주시 상당구,청주명암레이크점,영업중,충북 청주시 상당구 명암로 32 용담동 449,주차,0507-1384-9696
인천 중구,인천공항T1점,영업중,"인천광역시 중구 공항로 272 (운서동, 인천공항) 인천국제공항 제1여객터미널 L/S 1층",주차,032-743-3716
경기 이천시,이천하이닉스점,영업중,경기도 이천시 부발읍 경충대로 2091 연구개발동 1층,주차,031-8094-8747
서울 동작구,보라매병원점,영업중,서울시 동작구 보라매로5길 20 서울특별시보라매병원 희망관 1층,주차,02-831-3085
광주 광산구,광주수완2호점,영업중,"광주광역시 광산구 수완로 73번길 7, 1층 (수완동)  .",24시간/주차,062-959-3327
경기 이천시,(하)마장휴게소점,영업중,"경기도 이천시 마장면중부고속도로82,통영방향 /목리 산 13-32",,031-630-0001
경기 오산시,오산수청점,영업중,경기도 오산시 내삼미로79번길 46 101~104호 어반스페이스타워 /수청동 619-1,,031-377-5823
충남 예산군,(상)예산휴게소점,영업중,충청남도 예산군 신양면 당진영덕고속도로 33 (예산휴게소 상행) 당진 방향,,없음
대구 달서구,대구성서점,영업중,"대구광역시 달서구 성서로 419, 국민연금대구사옥 1층 (이곡동 1198-5) 할리스",주차,053-584-5702
서울 마포구,홍대역점,영업중,서울특별시 마포구 어울마당로 111 2~4층,테라스/흡연시설,02-323-7791
경기 용인시 처인구,용인명지대점,영업중,경기도 용인시 처인구 명지로116번길 24-2 1~2층,주차,070-4042-3118
전북 전주시 덕진구,국민연금공단점,영업중,전북 전주시 덕진구  기지로 170 국민연금공단 국민누리관 1층,,063-221-5072
부산 금정구,부산금강식물원점,영업중,"부산광역시 금정구 금샘로 22. 1,2층",테라스,051-517-1110
서울 구로구,구로역점,영업중,서울특별시 구로구 새말로 18-29 (구로동) .,,02-862-3216
서울 마포구,공덕역북카페점,영업중,"서울특별시 마포구 마포대로 100 (공덕동, 공덕역) 북카페 지하1층, 공덕동 423-29",,없음
전북 부안군,부안격포채석강점,영업중,전라북도 부안군 변산면 채석강길 22-6 .,테라스,063-584-0011
대구 북구,대구관음점,영업중,"대구광역시 북구 구암로 59 비전스퀘어 1,2층 .",24시간/주차,053-324-6122
대전 서구,대전가장점,영업중,"대전광역시 서구 도솔로 314  1층, 2층 (SL 빌딩)",주차,042-365-0365
충남 천안시 서북구,천안쌍용점,영업중,"충청남도 천안시 서북구 미라13길 16 /쌍용동 955, 성건오피스텔 1층",주차,041-563-4700
서울 영등포구,FKI타워점,영업중,"서울특별시 영등포구 여의대로 24 (여의도동, 전국경제인연합회회관) 지하 1층 B109~111호",주차,02-786-3485
서울 성동구,한양대병원점,영업중,"서울특별시 성동구 왕십리로 222-1, 한양대학교병원 본관 1층 (사근동 110, 한양대학부속병원) 할리스",주차,02-2281-2116
경기 시흥시,월곶점,영업중,경기도 시흥시 월곶중앙로 63 .,주차,031-404-7966
대전 서구,대전만년점,영업중,대전광역시 서구 둔산대로117번길 95 (리더스타운) 만년동 309,주차,042-485-9777
경기 화성시,화성융건릉점,영업중,"경기도 화성시 효행로 501-3 1,2층",주차,031-224-6999
대전 서구,대전탄방점,영업중,"대전광역시 서구 계룡로571번길 23-19 1층 102호,103호,104호 / 탄방동 688",주차,042-482-8425
전북 전주시 완산구,서전주DT점,영업중,전라북도 전주시 완산구 유연로 5 A동,DT 매장/주차,063-901-0802
경기 김포시,김포한강생태공원점,영업중,"경기도 김포시 김포한강11로 452,1~2층 운양동 1264-4",흡연시설/주차,031-996-2000
부산 동래구,부산명륜역점,영업중,"부산광역시 동래구 온천장로 5,1층 /온천동 473-10",,051-557-7811
경기 수원시 영통구,아주대병원점,영업중,"경기도 수원시 영통구 월드컵로 164 (원천동, 아주대학병원) 아주대학교병원 본관 1층",주차,031-211-5718
서울 종로구,종로5가점,영업중,서울특별시 종로구 동호로 401 .,,02-2266-1989
서울 영등포구,여의도파이낸스타워점,영업중,"서울특별시 영등포구 국제금융로2길 32, 여의도파이낸스타워 1층(여의도동 23-8)",주차,02-761-3154
경기 김포시,김포농협본점,영업중,경기도 김포시 홍도평로 20 (걸포동) 김포농협하나로마트본점 2층,주차,031-986-7932
서울 종로구,서울대병원점,영업중,"서울특별시 종로구 대학로 101 (연건동, 서울대학교의과대학)",주차,02-741-5815
서울 영등포구,구로디지털뉴스테이점,영업중,서울시 영등포구 시흥대로 595 104~5호,주차,070-7547-4100
전북 김제시,전북김제점,영업중,전북 김제시 검산택지 5길 21-10 1층,주차,063-547-9600
대구 북구,대구침산네거리점,영업중,대구광역시 북구 침산남로 157 .,,053-353-5544
서울 종로구,센터포인트점,영업중,"서울특별시 종로구 새문안로5길 31, 센터포인트광화문빌딩 1층 (도렴동 65, 센터포인트 광화문) 할리스",,02-6031-6213
전북 군산시,군산미장점,영업중,전라북도 군산시 미장안길 54  통큰타운3동 105호,,063-442-8777
서울 서초구,백석예술대학교점,영업중,서울특별시 서초구 방배로9길 23 (백석예술대 신관 1층) /방배동 981-17,,02-585-9150
전남 장흥군,전남장흥점,영업중,전라남도 장흥군 장흥읍 북부로 18 .,,061-862-0119
경기 구리시,구리수택DI점,영업중,경기도 구리시 검배로 73 (수택동) 할리스,주차,031-551-0988
서울 관악구,난곡사거리점,영업중,서울 관악구 남부순환로 1489 신림동 526-13,흡연시설/주차,02-865-0012
경기 오산시,오산대역DT점,영업중,경기도 오산시 경기대로 491 (수청동) 1층~3층 할리스,DT 매장/테라스/주차,031-372-9750
경북 구미시,구미금오산DI점,영업중,경상북도 구미시 금오산로 209 (남통동) 할리스커피 구미금오산점,테라스/주차,054-441-4452
경기 화성시,(하)매송휴게소점,영업중,경기 화성시 매송면 서해안고속도로 315 목포방향 .,주차,031-296-1501
경기 화성시,(상)매송휴게소점,영업중,경기 화성시 매송면 서해안고속도로 316 서울방향 .,주차,031-296-1501
전북 전주시 완산구,전주남천교점,영업중,전라북도 전주시 완산구 천서로 81  동서학동 66,,063-232-6000
강원 홍천군,(하)홍천휴게소점,영업중,강원도 홍천군 화촌면 서울양양고속도로 84 1층,,.
대구 중구,대구동성로점,영업중,"대구광역시 중구 동성로6길 32, B1~2층 (공평동 52-2) 할리스",,053-252-6307
인천 남구,인천주안역점,영업중,"인천광역시 미추홀구 주안로 105 1,2층 (주안동 130-10)",,032-425-1793
울산 남구,울산삼산대로점,영업중,울산광역시 남구 정동로 71 (삼산동),테라스/주차,052-293-2234
대구 동구,동대구환승센터점,영업중,"대구광역시 동구 동부로 149 (신천동, 신세계동대구복합환승센터) 3층",,053-742-0614
충북 괴산군,(하)괴산휴게소점,영업중,충북 괴산군 장연면 중부내륙고속도로 205 괴산(마산방향)휴게소  할리스커피,주차,043-832-7966
전남 보성군,(상)보성녹차휴게소점,영업중,전라남도 보성군 미력면 남해고속도로 63 (보성녹차(목포)주유소) 목포방향,주차,070-4325-8801
전남 보성군,(하)보성녹차휴게소점,영업중,전남 보성군 겸백면 남해고속도로 70 .,주차,070-4325-8808
서울 강남구,선릉샹제리제점,영업중,"서울특별시 강남구 테헤란로 406 (대치동, 샹제리제센터) A동 1층",주차,02-501-4255
인천 연수구,인천연수CGV점,영업중,인천 연수구 청능대로 210 (스퀘어원 4층) /동춘동 926,주차,032-456-4499
경북 김천시,(상)추풍령휴게소점,영업중,경북 김천시 봉산면 경부고속도로 214-1 광천리 737-1 (서울방향),주차,054-439-3187
경기 시흥시,시흥하늘휴게소점,영업중,"경기도 시흥시 수도권제1순환고속도로 105-1 조남동 15-10, 2층(일산방향)",주차,유선없음
전남 무안군,남악신도시점,영업중,"전라남도 무안군 삼향읍 남악로 234 트리폴리앙 B동 1, 108호~109호 .",주차,061-282-8280
광주 북구,광주일곡점,영업중,광주광역시 북구 송해로 81 1~3층 /일곡동 821-5,,070-7716-0123
충남 당진시,당진푸르지오점,영업중,충청남도 당진시 읍내동 1590 1층 희은빌라 .,주차,041-354-2004
전남 목포시,목포하당점,영업중,전라남도 목포시 비파로51번길 37 .,주차,061-283-9800
경기 남양주시,별내카페거리점,영업중,경기도 남양주시 두물로39번길 33 1층,테라스/주차,031-574-5655
경기 파주시,파주탄현점,영업중,"경기도 파주시 탄현면 방촌로 1017 1,2층",주차,031-947-9477
광주 광산구,광주우산점,영업중,광주광역시 광산구 풍영철길로 12 1~2층,주차,062-956-6582
경기 수원시 팔달구,수원인계점,영업중,경기도 수원시 팔달구 인계로138번길 49 /인계동 1038-12,테라스/24시간,031-222-6842
부산 동구,동부산우체국점,영업중,"부산광역시 동구 조방로 15, 1층  .",,051-631-3193
경기 안성시,안성팜랜드점,영업중,"경기도 안성시 공도읍 대신두길 28, 안성팜랜드 .",주차,070-4228-7345
경남 양산시,양산원동점,영업중,경상남도 양산시 원동면 원동로 1429 .,주차,055-372-0268
인천 서구,인천엠파크허브점,영업중,"인천광역시 서구 염곡로 52, 엠파크 허브동 103호 (가좌동 150-19) .",주차,032-265-0103
광주 광산구,광주운남점,영업중,광주광역시 광산구 하남대로 248-13 (운남동 771-3 ) 대영빌딩 1층,,062-951-5979
충남 천안시 동남구,동천안우체국점,영업중,"충청남도 천안시 동남구 청수5로 10, 1층 .",주차,041-522-5024
경남 사천시,(상)사천휴게소점,영업중,경상남도 사천시 곤양면 묵실길 31-11 (순천방향) .,주차,055-854-3574
경남 사천시,(하)사천휴게소점,영업중,경상남도 사천시 곤양면 서삼로 619 (부산방향) .,주차,055-854-3134
전북 전주시 완산구,전북도청점,영업중,"전라북도 전주시 완산구 홍산남로 51, 102~103호 일부(효자동3가) .",주차,063-228-4005
전북 부안군,전북부안점,영업중,"전라북도 부안군 부안읍 석정로 269, 1층 .",,063-581-0620
강원 동해시,동해촛대바위점,영업중,강원도 동해시 촛대바위길 16 (추암동 1-6) 1~2층,주차,033-522-0117
부산 서구,부산송도점,영업중,부산광역시 서구 송도해변로 61-1 .,,051-255-6100
경기 평택시,평택서재점,영업중,"경기도 평택시 서재로 26-24 1,2층 동삭동 711-14",흡연시설,031-651-2750
서울 강남구,수서점,영업중,"서울특별시 강남구 밤고개로1길 10 지하1층,123호,125호(수서현대벤쳐빌) .",주차,02-451-0723
경기 수원시 권선구,수원오목천점,영업중,경기도 수원시 권선구 서수원로 179 1~2층,주차,031-291-7933
대구 군위군,(상)군위휴게소점,영업중,대구광역시 군위군 군위읍 경북대로 4084 부산방향,주차,054-383-6114
전북 남원시,(상)지리산휴게소점,영업중,전라북도 남원시 아영면 광주대구고속도로 76 (대구방면),주차,063-636-7191
전북 남원시,(하)지리산휴게소점,영업중,전라북도 남원시 아영면 광주대구고속도로 75 (지리산휴게소(하)광주방면) .,주차,063-636-7195
전남 여수시,여수웅천점,영업중,전라남도 여수시 예울마루로 35-24 웅천동 1699-3,,061-681-2522
경북 성주군,(상)남성주휴게소점,영업중,"경상북도 성주군 용암면 중부내륙고속도로 76 (본리리, 남성주(양평방향)휴게소) 양평방향",주차,054-931-5742
서울 서초구,고속터미널영동선점,영업중,서울특별시 서초구 신반포로 194 (강남고속버스터미널) 2층 A-2호,주차,02-591-1555
충북 옥천군,(상)옥천휴게소점,영업중,"충청북도 옥천군 옥천읍 옥천동이로 242-34 (매화리, 옥천상휴게소) .",주차,043-731-8096
세종 세종시,세종어진점,영업중,"세종특별자치시 절재로 194 (어진동, 중앙타운) 133호,214호 .",주차,070-7766-1589
대구 북구,대구동천점,영업중,대구광역시 북구 동천로 125 .,주차,053-321-0099
경북 성주군,(하)남성주휴게소점,영업중,"경상북도 성주군 선남면 중부내륙고속도로 77 (명포리, 남성주(창원방향)휴게소) 창원방향",주차,054-933-7105
경기 안양시 만안구,안양역점,영업중,경기도 안양시 만안구 장내로139번길 61 .,테라스/흡연시설,031-466-2879
대전 유성구,대전도안마을점,영업중,"대전광역시 유성구 도안대로 560 (봉명동, 도안마을1단지) .",,042-826-6080
충남 아산시,아산우체국점,영업중,충청남도 아산시 시민로 455 (아산우체국) 온천동 1585,주차,041-548-5024
서울 금천구,가산디지털단지점,영업중,서울특별시 금천구 가산디지털1로 186 (제이플라츠타워 1층) /가산동 459-11,주차,02-2028-7111
전남 목포시,목포평화점,영업중,전라남도 목포시 미항로 129 1-2층 .,,061-285-0365
충북 단양군,(하)단양휴게소점,영업중,충청북도 단양군 적성면 기동2길 32-37 /기동리 산74-1,주차,043-423-5401
전북 고창군,전북고창점,영업중,전라북도 고창군 고창읍 중앙로 195 .,,063-564-3357
경남 거창군,(상)거창휴게소점,영업중,"경상남도 거창군 가조면 가조가야로 1523 (도리, 거창휴게소(상)) .",주차,055-943-0992
경남 양산시,(서)양산휴게소점,영업중,"경상남도 양산시 동면 목장길 15-50 (내송리, 양산휴게소) .",주차,055-384-0144
경남 거창군,(하)거창휴게소점,영업중,경상남도 거창군 가조면 가조가야로 1543-81 .,주차,055-943-0992
경기 안양시 동안구,평촌스마트스퀘어점,영업중,"경기도 안양시 동안구 시민대로 311, 110호/111호(관양동, 금강스마트빌딩) .",주차,031-421-8097
경기 안성시,(하)안성휴게소점,영업중,경기도 안성시 원곡면 경부고속도로 365 안성휴게소(부산방향) .,주차,031-655-0531
경기 의정부시,의정부시청점,영업중,"경기도 의정부시 시민로 57, 1층 동원빌딩",테라스,031-826-0009
충남 천안시 서북구,천안두정점,영업중,"충청남도 천안시 서북구 오성6길 52,세윤빌딩 1층 /두정동 779",24시간/주차,041-574-0013
경기 평택시,평택점,영업중,경기도 평택시 평택1로 11 .,흡연시설,031-651-1223
충북 진천군,충북진천점,영업중,충청북도 진천군 진천읍 중앙북로 28 2층 .,,043-534-8584
경기 김포시,김포골드밸리점,영업중,"경기도 김포시 양촌읍 황금로109번길 27 1층, 동양프라자",테라스/주차,031-998-7233
서울 서초구,남부터미널점,영업중,서울특별시 서초구 서초중앙로 52 (영진빌딩 1층) .,,02-584-9500
서울 강동구,고덕리앤파크점,영업중,서울특별시 강동구 상일로 151 1층(고덕동 182) .,주차,02-441-1121
전북 전주시 덕진구,송천솔내점,영업중,"전라북도 전주시 덕진구 붓내3길 17 송천동 2가 244-10, 1층",,063-291-8000
서울 강남구,한티역점,영업중,서울특별시 강남구 도곡로 414 (삼성빌딩) 1층 /대치동 1024-2,주차,02-538-8886
광주 광산구,광주첨단점,영업중,광주광역시 광산구 첨단중앙로 136 1층 .,주차,062-434-0200
서울 중구,충정래미안점,영업중,서울특별시 중구 중림로 21 (더플레이스충정로) B204호,테라스/주차,02-363-1388
경기 성남시 분당구,동판교M타워점,영업중,"경기도 성남시 분당구 판교역로241번길 22, 1층 .",주차,031-8017-7557
서울 동작구,노량진역점,영업중,서울특별시 동작구 노량진로 157 2-5층,24시간/흡연시설,02-827-0280
충북 청주시 흥덕구,충북대점,영업중,충청북도 청주시 흥덕구 내수동로 53 1~2층 / 복대동 873-10,흡연시설,043-266-2248
대구 군위군,(하)군위휴게소점,영업중,대구광역시 군위군 군위읍 경북대로 4082 춘천방향,테라스/주차,054-383-7114
서울 강동구,굽은다리역점,영업중,"서울특별시 강동구 양재대로 1591 , 1층 (천호동 31-2)",24시간/주차,02-488-5077
인천 연수구,송도IT점,영업중,"인천 연수구 송도과학로 32, 송도테크노파크IT센터 1층-A104호 .",주차,032-209-7979
경북 문경시,(하)문경휴게소점,영업중,경상북도 문경시 중부내륙고속도로 173 .,주차,054-554-1655
서울 관악구,서울대사거리점,영업중,"서울특별시 관악구 관악로 172, 2층 봉천동 857-4",흡연시설,02-877-6070
서울 강남구,도심공항점,영업중,"서울특별시 강남구 테헤란로87길 22 (한국도심공항터미널, 2층) 203호",주차,02-2016-5400
서울 종로구,광화문LG점,영업중,서울특별시 종로구 새문안로 58 (LG광화문빌딩) 지하1층,흡연시설/주차,02-720-6994
서울 광진구,건대입구점,영업중,서울특별시 광진구 아차산로 235 (화양동)  235 (화양동),테라스/흡연시설,02-463-1983
서울 강남구,청담점,영업중,서울특별시 강남구 학동로 517 1층,테라스,02-515-9915
서울 동작구,이수역점,영업중,"서울특별시 동작구 동작대로 83 (사당동, 헤라피스빌딩) B1~1층",흡연시설/주차,02-588-4845
서울 서초구,방배점,영업중,서울특별시 서초구 남부순환로 2335 (옥스포드빌딩) .,주차,02-581-4858
경기 성남시 분당구,분당서현점,영업중,"경기도 성남시 분당구 황새울로 315, 1층 104 (대현빌딩) .",24시간/주차,031-781-6254
경기 부천시 원미구,부천중동점,영업중,"경기도 부천시 원미구 소향로 203, 매트로펠리스 B동 1층 109-110호 /중동 1152-3",주차,032-325-6766
서울 광진구,테크노마트점,영업중,"서울특별시 광진구 광나루로56길 85, 9층 14호 (테크노마트21) .",주차,02-3424-8484
경기 군포시,산본점,영업중,경기도 군포시 번영로 505 1층 (대우디오플러스),테라스/주차,031-392-5999
광주 동구,광주충장로점,영업중,광주광역시 동구 충장로안길 43 충장로1가 23,,062-223-0688
서울 강남구,역삼스타점,영업중,"서울특별시 강남구 테헤란로26길 12, 1층 (역삼동 736-56) 할리스",,02-501-4142
부산 남구,부산경성대2호점,영업중,"부산광역시 남구 수영로 306, 3층 (대연동 72-1) 할리스",,051-611-3021
서울 강서구,김포공항점,영업중,서울특별시 강서구 하늘길 112 김포공항 국내선청사 1층,주차,02-2064-0312
서울 영등포구,여의도하나증권점,영업중,서울특별시 영등포구  의사당대로 82 1층 할리스,주차,02-761-7231
부산 해운대구,부산송정DI점,영업중,부산광역시 해운대구 송정광어골로 77 (송정동 443-5) 할리스,테라스/주차,051-701-5591
서울 광진구,광나루역점,영업중,"서울특별시 광진구 천호대로 808, 광장현대홈타운 제1202동 상가 1층 (광장동 580) 할리스",,02-444-0542
서울 강남구,세로수길점,영업중,서울특별시 강남구 강남대로152길 41 (신사동 536-6) 할리스,테라스,02-511-1473
서울 양천구,목동점,영업중,"서울특별시 양천구 목동서로 159-1 CBS 1,2층 CBS 1,2층 할리스",주차,02-2062-1063
광주 서구,광주아울렛점,영업중,광주광역시 서구  상무대로 633,테라스/흡연시설/주차,062-385-5122
울산 남구,울산디자인거리점,영업중,울산광역시 남구 돋질로302번길 38 (삼산동 1575-22) 할리스,,052-256-0566
서울 영등포구,당산역점,영업중,서울특별시 영등포구 당산로 219,,02-2631-3446
경기 의왕시,의왕현대연구소점,영업중,"경기도 의왕시 철도박물관로 37, 1층 (삼동, 현대자동차그룹의왕연구소)",,031-462-9065
서울 송파구,잠실광고회관점,영업중,"서울특별시 송파구 올림픽로35길 137, 한국방송문화회관 1층 (신천동 7-11) 할리스",주차,02-2144-0888
경남 창원시 성산구,창원상남점,영업중,경상남도 창원시 성산구 마디미로31번길 3 (상남동 상남동 18-9) 할리스,흡연시설,055-261-5955
서울 송파구,배명사거리점,영업중,"서울특별시 송파구 백제고분로 275, 1층 (석촌동 14-7) 할리스",주차,02-422-4915
서울 노원구,노원문화의거리점,영업중,서울특별시 노원구 노해로81길 22-26 할리스,흡연시설,02-935-8231
부산 해운대구,부산해운대점,영업중,"부산광역시 해운대구 해운대해변로 277, 다옴빌딩 1~2층 (중1동 1412-7) 할리스",테라스/흡연시설,051-746-1463
서울 강남구,도곡점,영업중,"서울특별시 강남구 논현로28길 54, 덕원빌딩 1층 (도곡동 422-2) 할리스",,02-6204-3311
부산 남구,부산경성대점,영업중,"부산광역시 남구 용소로 7, 청라빌딩 2~3층 (대연동 56-8) 할리스",흡연시설,051-611-6893
인천 연수구,인천한옥마을점,영업중,"인천광역시 연수구 테크노파크로 180, 다동 지상1층(송도동)",주차,032-831-0337
서울 강남구,강남역점,영업중,"서울특별시 강남구 강남대로 402, 시계탑빌딩 B1~1층 (역삼동 820-11)  할리스",주차,02-555-0890
대전 서구,대전둔산청솔점,영업중,대전광역시 서구 둔산로 223 제상가 2동 할리스,테라스,042-489-7990
서울 용산구,용산더프라임점,영업중,서울특별시 용산구 원효로90길 11 더프라임타워 업무동 1층,주차,02-6362-7990
